Removed_street,Remained_street
740,836
712,835
713,208
206,207
667,210
331,333
332,333
694,826
60,62
61,62
691,692
684,685
597,685
633,631
632,631
532,533
539,540
236,720
237,706
788,705
839,705
868,867
869,866
708,838
709,739
707,738
624,323
389,390
837,435
453,435
854,853
699,437
42,40
41,40
718,719
717,719
775,774
773,772
214,213
219,216
217,216
215,220
218,220
620,621
235,621
696,204
686,688
863,861
862,861
297,803
303,682
310,682
683,682
681,680
860,859
721,619
723,618
722,617
225,223
840,220
841,790
787,776
690,688
711,6
810,710
809,791
736,808
735,807
771,807
770,767
769,767
768,806
804,805
700,702
640,701
704,639
703,410
591,410
732,436
763,733
764,734
762,734
800,780
799,779
802,779
801,779
